id,season,week,season_type,start_date,start_time_t_b_d,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_classification,home_conference,home_points,home_line_scores,home_postgame_win_probability,home_pregame_elo,home_postgame_elo,away_id,away_team,away_classification,away_conference,away_points,away_line_scores,away_postgame_win_probability,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,playoff,cfbd_home_team,cfbd_away_team,cfbd_orientation_reversed
401870763,2026,1,regular,2026-09-05T23:00:00.000Z,False,False,False,False,,3975.0,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,,,,1422.0,,2534,Sam Houston,fbs,Conference USA,,,,1162.0,,,,,,Troy,Sam Houston,False
401862699,2026,1,regular,2026-09-05T23:00:00.000Z,False,False,False,False,,3886.0,Raymond James Stadium,58,South Florida,fbs,American Athletic,,,,1682.0,,2229,Florida International,fbs,Conference USA,,,,1382.0,,,,,,South Florida,Florida International,False
401858428,2026,1,regular,2026-09-05T23:30:00.000Z,False,False,False,False,,3558.0,Michigan Stadium,130,Michigan,fbs,Big Ten,,,,1690.0,,2711,Western Michigan,fbs,Mid-American,,,,1530.0,,,,,,Michigan,Western Michigan,False
401856662,2026,1,regular,2026-09-05T23:30:00.000Z,False,False,False,False,,3693.0,Davis Wade Stadium,344,Mississippi State,fbs,SEC,,,,1478.0,,2433,UL Monroe,fbs,Sun Belt,,,,1177.0,,,,,,Mississippi State,UL Monroe,False
401856660,2026,1,regular,2026-09-05T23:30:00.000Z,False,False,False,False,,3958.0,Tiger Stadium (LA),99,LSU,fbs,SEC,,,,1616.0,,228,Clemson,fbs,ACC,,,,1670.0,,,,,,LSU,Clemson,False
401864498,2026,1,regular,2026-09-06T02:00:00.000Z,False,False,False,False,,3971.0,University Stadium (NM),167,New Mexico,fbs,Mountain West,,,,1496.0,,2117,Central Michigan,fbs,Mid-American,,,,1321.0,,,,,,New Mexico,Central Michigan,False
401864497,2026,1,regular,2026-09-06T02:00:00.000Z,False,False,False,True,,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,,,,1454.0,,2439,UNLV,fbs,Mountain West,,,,1566.0,,,,,,Hawai'i,UNLV,False
401864432,2026,1,regular,2026-09-06T02:30:00.000Z,False,False,False,False,,3816.0,Mackay Stadium,2440,Nevada,fbs,Mountain West,,,,1351.0,,98,Western Kentucky,fbs,Conference USA,,,,1438.0,,,,,,Nevada,Western Kentucky,False
401858210,2026,1,regular,2026-09-06T02:30:00.000Z,False,False,False,False,,3831.0,California Memorial Stadium,25,California,fbs,ACC,,,,1406.0,,26,UCLA,fbs,Big Ten,,,,1381.0,,,,,,California,UCLA,False
401858437,2026,1,regular,2026-09-06T20:00:00.000Z,False,False,False,False,,3765.0,Husky Stadium,264,Washington,fbs,Big Ten,,,,1744.0,,265,Washington State,fbs,Pac-12,,,,1619.0,,,,,,Washington,Washington State,False
401856661,2026,1,regular,2026-09-06T23:30:00.000Z,False,False,True,False,,3810.0,Nissan Stadium,145,Ole Miss,fbs,SEC,,,,1839.0,,97,Louisville,fbs,ACC,,,,1666.0,,,,Liberty Mutual Music City Kickoff,,Ole Miss,Louisville,False
401858438,2026,1,regular,2026-09-06T23:30:00.000Z,False,False,True,False,,3798.0,Lambeau Field,87,Notre Dame,fbs,FBS Independents,,,,1995.0,,275,Wisconsin,fbs,Big Ten,,,,1501.0,,,,,,Notre Dame,Wisconsin,False
401858212,2026,1,regular,2026-09-07T23:30:00.000Z,False,False,False,True,,3697.0,Doak Campbell Stadium,52,Florida State,fbs,ACC,,,,1559.0,,2567,SMU,fbs,ACC,,,,1734.0,,,,,,Florida State,SMU,False
401856679,2026,2,regular,2026-09-12T16:00:00.000Z,False,False,False,False,,3558.0,Michigan Stadium,130,Michigan,fbs,Big Ten,,,,,,201,Oklahoma,fbs,SEC,,,,,,,,,,Michigan,Oklahoma,False
401856682,2026,2,regular,2026-09-12T23:30:00.000Z,False,False,False,False,,3910.0,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,,,,,,194,Ohio State,fbs,Big Ten,,,,,,,,,,Texas,Ohio State,False
