game_id,away_team,home_team,away_points,home_points,actual_winner,consensus_straight_up_pick,consensus_winner_correct,consensus_predicted_home_margin,actual_home_margin,consensus_absolute_margin_error,consensus_against_spread_team,consensus_home_team_market_spread,actual_against_spread_winner,consensus_ats_result
401861963,UConn,Southern Miss,48.0,20.0,UConn,Southern Miss,False,0.94,-28.0,28.94,Southern Miss,3.0,UConn,Loss
401862773,Western Michigan,Rice,28.0,21.0,Western Michigan,Western Michigan,True,-5.69,-7.0,1.3099999999999996,Rice,11.5,Rice,Win
401864443,Nevada,Middle Tennessee,20.0,27.0,Middle Tennessee,Middle Tennessee,True,4.28,7.0,2.7199999999999998,Middle Tennessee,6.5,Middle Tennessee,Win
401866423,Ohio,South Alabama,36.0,41.0,South Alabama,South Alabama,True,13.68,5.0,8.68,South Alabama,-4.5,South Alabama,Win
401869948,Georgia Southern,Jacksonville State,27.0,31.0,Jacksonville State,Jacksonville State,True,3.7,4.0,0.2999999999999998,Jacksonville State,-3.0,Jacksonville State,Win
401856688,LSU,Ole Miss,24.0,32.0,Ole Miss,LSU,False,-4.08,8.0,12.08,LSU,2.5,Ole Miss,Loss
401856690,New Mexico,Oklahoma,6.0,14.0,Oklahoma,Oklahoma,True,8.29,8.0,0.28999999999999915,New Mexico,-23.5,New Mexico,Win
401856795,BYU,Colorado State,41.0,23.0,BYU,BYU,True,-3.84,-18.0,14.16,Colorado State,21.0,Colorado State,Win
401856796,Colorado,Northwestern,7.0,41.0,Northwestern,Northwestern,True,6.64,34.0,27.36,Northwestern,-3.5,Northwestern,Win
401856802,West Virginia,Virginia,38.0,27.0,West Virginia,Virginia,False,8.07,-11.0,19.07,West Virginia,-9.5,West Virginia,Win
401858232,Virginia Tech,Maryland,35.0,26.0,Virginia Tech,Virginia Tech,True,-2.29,-9.0,6.71,Maryland,3.0,Virginia Tech,Loss
401858453,Michigan State,Notre Dame,10.0,27.0,Notre Dame,Notre Dame,True,20.07,17.0,3.0700000000000003,Michigan State,-29.5,Michigan State,Win
401856692,Kennesaw State,Tennessee,9.0,42.0,Tennessee,Tennessee,True,23.31,33.0,9.690000000000001,Kennesaw State,-34.5,Kennesaw State,Win
401856693,UTSA,Texas,6.0,30.0,Texas,Texas,True,15.74,24.0,8.26,UTSA,-29.5,UTSA,Win
401856799,Arkansas State,TCU,7.0,31.0,TCU,TCU,True,11.71,24.0,12.29,Arkansas State,-20.5,TCU,Loss
401862776,UAB,Louisiana,14.0,21.0,Louisiana,Louisiana,True,7.48,7.0,0.4800000000000004,UAB,-10.0,UAB,Win
401860887,James Madison,San Diego State,26.0,13.0,James Madison,James Madison,True,-11.34,-13.0,1.6600000000000001,James Madison,-1.5,James Madison,Win
401856793,Northern Illinois,Arizona,17.0,42.0,Arizona,Arizona,True,21.27,25.0,3.7300000000000004,Northern Illinois,-35.5,Northern Illinois,Win
401864507,North Dakota State,Sacramento State,31.0,10.0,North Dakota State,North Dakota State,True,-2.4,-21.0,18.6,Sacramento State,26.5,Sacramento State,Win
401858458,Purdue,UCLA,38.0,52.0,UCLA,UCLA,True,10.07,14.0,3.9299999999999997,Purdue,-14.0,Push,Push
401860888,Fresno State,San José State,26.0,10.0,Fresno State,Fresno State,True,-1.8,-16.0,14.2,San José State,7.0,Fresno State,Loss
