ballot_rank,scientific_f0_m1,scientific_f0_m10,scientific_f0_m2,scientific_f0_m3,scientific_f0_m4,scientific_f0_m5,scientific_f1_m1,scientific_f1_m10,scientific_f1_m2,scientific_f1_m3,scientific_f1_m4,scientific_f1_m5,scientific_f2_m1,scientific_f2_m10,scientific_f2_m2,scientific_f2_m3,scientific_f2_m4,scientific_f2_m5,scientific_f3_m1,scientific_f3_m10,scientific_f3_m2,scientific_f3_m3,scientific_f3_m4,scientific_f3_m5,scientific_f4_m1,scientific_f4_m10,scientific_f4_m2,scientific_f4_m3,scientific_f4_m4,scientific_f4_m5,scientific_f5_m1,scientific_f5_m10,scientific_f5_m2,scientific_f5_m3,scientific_f5_m4,scientific_f5_m5,scientific_f6_m1,scientific_f6_m10,scientific_f6_m2,scientific_f6_m3,scientific_f6_m4,scientific_f6_m5
11,Michigan,West Virginia,Michigan,Missouri,USC,Michigan,Notre Dame,Virginia Tech,Utah,Kansas State,Kansas State,Utah,South Carolina,SMU,Nebraska,Tennessee,Penn State,Mississippi State,LSU,Nebraska,Indiana,Penn State,LSU,LSU,Alabama,Utah,Utah,LSU,Texas,Maryland,Texas A&M,Houston,Utah,Utah,Texas,Iowa,Notre Dame,Kentucky,Oklahoma,Utah,Tennessee,James Madison
12,Miami,Missouri,Miami,Rice,Florida,Miami,South Carolina,Notre Dame,South Carolina,Iowa,Alabama,Alabama,Miami,Alabama,South Carolina,Nebraska,Alabama,Ohio State,Utah,Michigan,South Carolina,LSU,Utah,Florida State,LSU,Tennessee,Ole Miss,Penn State,Florida,Tennessee,Michigan,Miami,Iowa,Texas,Iowa,Army,LSU,Tennessee,Michigan,Penn State,Utah,Toledo
13,Tennessee,Syracuse,Tennessee,Notre Dame,Michigan,Tennessee,Florida,Houston,Penn State,South Carolina,Iowa,Penn State,Nebraska,Tennessee,Penn State,Virginia Tech,Nebraska,Missouri,Iowa,Penn State,Penn State,James Madison,Oregon,Kansas,Iowa,TCU,USC,Iowa,Penn State,LSU,Kansas State,Michigan,Miami,LSU,Penn State,LSU,Florida,Virginia Tech,Ole Miss,Iowa,Penn State,USC
14,Ole Miss,Oklahoma,Ole Miss,Ole Miss,Miami,Ole Miss,LSU,Oklahoma,Texas A&M,Mississippi State,Virginia Tech,Iowa,LSU,Illinois,LSU,Houston,Virginia Tech,Nebraska,Penn State,Texas,Utah,Iowa,Penn State,SMU,Florida,Ohio State,South Carolina,James Madison,Alabama,Oregon,Utah,Notre Dame,Texas A&M,Penn State,LSU,Oklahoma,Texas A&M,Texas,Miami,Florida,USC,Northwestern
15,South Carolina,Arkansas,South Carolina,LSU,Ole Miss,South Carolina,Virginia Tech,Georgia,Virginia Tech,Penn State,Texas A&M,LSU,Utah,Baylor,Mississippi State,Florida,South Carolina,BYU,Michigan,James Madison,Iowa,Texas,Michigan,Notre Dame,South Carolina,Iowa,Texas A&M,Houston,LSU,Michigan,Florida,Oklahoma,Florida,James Madison,Florida,Illinois,South Carolina,Florida State,USC,Kansas State,Florida,Virginia Tech
16,Clemson,Auburn,Clemson,Navy,Tennessee,Clemson,Nebraska,Michigan,Nebraska,Nebraska,Nebraska,Texas A&M,Texas A&M,Oklahoma,Utah,Mississippi State,BYU,Maryland,South Carolina,Virginia,Illinois,Nebraska,Ole Miss,North Carolina,USC,Indiana,Kansas State,Florida,Texas A&M,Virginia Tech,Ole Miss,USC,USC,USC,South Carolina,SMU,Kansas State,Notre Dame,Florida,Michigan,Kansas State,Illinois
17,Oklahoma,Houston,Oklahoma,Tennessee,Auburn,Oklahoma,Mississippi State,Tennessee,Kansas State,Missouri,South Carolina,Virginia Tech,BYU,James Madison,Texas A&M,LSU,Michigan,Houston,Florida,Houston,LSU,Florida,Florida,Penn State,Kansas State,Mississippi State,Oklahoma,Texas,USC,Ohio State,USC,Florida State,Oklahoma,Florida,USC,North Carolina,USC,Miami,Utah,James Madison,South Carolina,Texas Tech
18,Florida State,Mississippi State,Auburn,Georgia Tech,Oklahoma,Auburn,Penn State,Oregon,Mississippi State,Florida,Mississippi State,Houston,Kansas State,UCF,Virginia Tech,James Madison,Mississippi State,Kansas State,Kansas State,Virginia Tech,USC,Mississippi State,Texas A&M,Tennessee,Michigan,Washington,Iowa,Mississippi State,Ole Miss,Washington,Iowa,Virginia Tech,Penn State,South Carolina,Texas A&M,Miami,Utah,Texas A&M,Iowa,Ole Miss,Michigan,Pittsburgh
19,Auburn,LSU,Florida State,Miami,Missouri,Missouri,Kansas State,Florida,LSU,Houston,LSU,Nebraska,Virginia Tech,South Carolina,Ole Miss,BYU,Iowa,Virginia Tech,Illinois,TCU,Texas A&M,Houston,Houston,Indiana,Penn State,SMU,LSU,Nebraska,Louisville,Oklahoma State,Miami,Texas A&M,Ole Miss,Michigan,BYU,Navy,Iowa,USC,Texas A&M,USC,Houston,North Carolina
20,Missouri,Stanford,Missouri,Maryland,Arkansas,Mississippi State,Iowa,Minnesota,Iowa,Texas A&M,James Madison,Missouri,Houston,Syracuse,BYU,Texas,Florida,South Florida,Washington,Washington,Oklahoma,Michigan,South Carolina,Duke,Texas A&M,Army,Illinois,USC,Illinois,USC,South Carolina,Alabama,South Carolina,Texas A&M,Mississippi State,Arizona State,Miami,Houston,Illinois,Louisville,Louisville,Texas
21,Mississippi State,Texas A&M,Mississippi State,Arkansas,Syracuse,Nebraska,Michigan,New Mexico,TCU,James Madison,Michigan,BYU,Mississippi State,Georgia State,Kansas State,Iowa,Virginia,Tennessee,USC,Iowa,Kansas State,Louisville,Illinois,Washington,Illinois,Houston,Penn State,Michigan,Michigan,Notre Dame,BYU,Florida,Michigan,Ole Miss,Nebraska,Louisiana,BYU,Louisville,South Carolina,South Carolina,Texas A&M,Boston College
22,Nebraska,Virginia,Nebraska,Houston,Florida State,Kentucky,Missouri,Kansas State,Houston,Virginia Tech,Penn State,James Madison,Ole Miss,Georgia,Houston,South Carolina,Maryland,Penn State,Texas A&M,SMU,Michigan,Ole Miss,Louisville,NC State,BYU,Nebraska,BYU,South Carolina,Nebraska,Duke,Penn State,Texas,Illinois,BYU,Houston,Oklahoma State,Illinois,Penn State,Penn State,Houston,Ole Miss,Texas A&M
23,Kentucky,Wisconsin,Kentucky,Utah,Kentucky,Washington,Oklahoma,Pittsburgh,BYU,BYU,BYU,Pittsburgh,Washington,New Mexico,Iowa,Maryland,Houston,Syracuse,BYU,BYU,Nebraska,USC,Oklahoma,Oregon,Virginia Tech,Penn State,Mississippi State,Ole Miss,James Madison,Pittsburgh,Missouri,Iowa,Mississippi State,Houston,Louisville,Tennessee,Penn State,NC State,Louisville,BYU,BYU,Mississippi State
24,Washington,Arizona,Washington,Virginia,Nebraska,UCLA,Ole Miss,Iowa,Ole Miss,Iowa State,Houston,TCU,Iowa,Nebraska,Illinois,Michigan,LSU,Indiana,Houston,Mississippi State,Mississippi State,TCU,USC,James Madison,Washington,Wisconsin,Michigan,Louisville,South Carolina,Toledo,Illinois,Utah,Nebraska,Nebraska,Oklahoma,Kentucky,Mississippi State,Utah,Mississippi State,Mississippi State,Oklahoma,Air Force
25,UCLA,USC,UCLA,Louisville,Mississippi State,Penn State,Houston,LSU,Missouri,LSU,Missouri,Wisconsin,TCU,Army,USC,Missouri,Texas A&M,Oregon,Nebraska,Georgia State,BYU,BYU,SMU,UCLA,Mississippi State,Oklahoma State,Nebraska,BYU,Houston,South Carolina,Mississippi State,Wisconsin,Missouri,Louisville,Michigan,Florida,Louisville,Nebraska,BYU,Nebraska,Illinois,Michigan State
