scope,through_week,series_type,model_name,model_family,fingerprint,games,margin_games,margin_mae,su_wins,su_losses,su_accuracy,brier_games,brier_score,ats_wins,ats_losses,ats_pushes,ats_accuracy
cumulative,1,model,scientific_F5_M3,tree,F5,47,47,18.0387244743223,36,11,0.7659574468085106,47,0.14600974174331371,18,28,1,0.391304347826087
cumulative,1,model,scientific_F5_M4,boosted,F5,47,47,18.451398123988078,37,10,0.7872340425531915,47,0.1509359276886103,19,27,1,0.41304347826086957
cumulative,1,model,scientific_F5_M5,neural,F5,47,47,18.499291847360894,40,7,0.851063829787234,47,0.15437291504593983,22,24,1,0.4782608695652174
cumulative,1,model,scientific_F6_M1,linear,F6,47,47,19.414284156132386,38,9,0.8085106382978723,47,0.13985135369181526,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F6_M10,knn,F6,47,47,15.955851063829787,40,7,0.851063829787234,47,0.1538374129063646,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F6_M2,spline,F6,47,47,17.98599432396199,39,8,0.8297872340425532,47,0.16711870715064328,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F6_M3,tree,F6,47,47,18.102244928323113,37,10,0.7872340425531915,47,0.14605849824380568,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F6_M4,boosted,F6,47,47,17.79657950851169,36,11,0.7659574468085106,47,0.14397286939867504,19,27,1,0.41304347826086957
cumulative,1,model,scientific_F6_M5,neural,F6,47,47,16.684491231086405,39,8,0.8297872340425532,47,0.1377968555468927,21,25,1,0.45652173913043476
cumulative,1,vegas,Vegas closing-line baseline,market,evaluation-only,47,47,13.50531914893617,42,5,0.8936170212765957,43,0.0984595140459625,,,,0.5
cumulative,2,consensus,Scientific consensus,consensus,F0–F6,96,96,16.303229166666664,69,27,0.71875,96,0.18086235166666667,44,51,1,0.4631578947368421
cumulative,2,model,scientific_F0_M1,linear,F0,96,96,15.114758316341915,80,16,0.8333333333333334,96,0.15624007729353148,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F0_M10,knn,F0,96,96,15.619037267614777,74,22,0.7708333333333334,96,0.16545129025104569,51,44,1,0.5368421052631579
cumulative,2,model,scientific_F0_M2,spline,F0,96,96,14.860241955860722,82,14,0.8541666666666666,96,0.1536258322541339,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F0_M3,tree,F0,96,96,16.24738596470377,71,25,0.7395833333333334,96,0.17836673956430663,51,44,1,0.5368421052631579
cumulative,2,model,scientific_F0_M4,boosted,F0,96,96,14.969314386540582,77,19,0.8020833333333334,96,0.15652258348189643,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F0_M5,neural,F0,96,96,14.998593463562429,76,20,0.7916666666666666,96,0.15262817442923168,46,49,1,0.4842105263157895
cumulative,2,model,scientific_F1_M1,linear,F1,96,96,18.574072934208896,67,29,0.6979166666666666,96,0.20839383303392764,42,53,1,0.4421052631578947
