consensus_power_rank,poll_points_rank,consensus_power_top25,poll_points_top25,keys_team,predicted_margin_vs_average_team,median_margin_vs_average_team,minimum_model_margin_vs_average,maximum_model_margin_vs_average,model_margin_standard_deviation,average_ballot_rank,best_ballot_rank,worst_ballot_rank,scientific_models,top25_votes,poll_points,first_place_votes
21,23,True,True,Washington,9.973,10.976,-5.687,25.458,5.825,28.333,10,136,42,32,186,0
22,20,True,True,LSU,9.889,9.986,-5.402,24.536,6.683,27.357,3,104,42,21,239,0
23,22,True,True,South Florida,9.881,10.529,-4.854,25.06,6.703,29.667,5,92,42,26,215,0
24,24,True,True,Auburn,8.91,9.675,-6.98,19.764,5.437,29.405,7,71,42,13,133,0
25,31,True,False,Penn State,8.6,9.913,-5.686,17.269,5.239,33.333,4,134,42,13,90,0
26,29,False,False,BYU,8.48,10.244,-4.835,14.922,5.309,35.024,16,84,42,20,102,0
27,33,False,False,SMU,8.332,9.411,-5.68,22.169,6.046,37.167,9,129,42,15,77,0
28,34,False,False,Iowa,8.158,9.689,-5.642,15.435,5.25,36.333,14,116,42,15,69,0
29,43,False,False,Arizona,7.998,8.793,-6.632,22.112,5.513,35.19,10,78,42,5,42,0
30,27,False,False,North Texas,7.765,8.664,-7.079,46.001,8.238,43.071,1,120,42,10,115,2
31,26,False,False,James Madison,7.455,8.733,-12.489,24.75,7.124,45.262,12,133,42,21,116,0
32,64,False,False,Louisville,6.977,7.752,-5.66,15.699,4.814,40.786,18,123,42,4,20,0
33,44,False,False,Nebraska,6.453,6.93,-8.41,17.887,4.748,45.0,10,138,42,5,41,0
34,36,False,False,Memphis,6.389,7.176,-9.059,22.647,5.222,42.048,7,112,42,5,62,0
35,25,False,True,Florida,6.358,5.668,-7.04,22.661,5.238,41.214,9,76,42,10,121,0
36,71,False,False,Virginia,6.203,6.174,-10.176,21.58,5.74,45.762,11,102,42,1,15,0
37,35,False,False,Iowa State,6.195,6.521,-8.925,25.482,5.477,43.405,6,88,42,5,66,0
38,32,False,False,South Carolina,6.092,5.397,-7.276,21.362,5.658,45.333,10,115,42,8,86,0
39,54,False,False,Illinois,6.025,6.524,-6.533,14.042,4.872,45.357,12,111,42,3,25,0
40,38,False,False,UNLV,6.018,7.514,-10.307,13.674,4.649,43.167,4,94,42,5,53,0
41,28,False,False,Cincinnati,5.704,6.595,-11.584,23.352,6.192,52.167,2,113,42,6,106,0
42,42,False,False,East Carolina,5.698,7.142,-7.028,21.528,5.283,49.143,4,116,42,5,47,0
43,41,False,False,Wake Forest,5.674,6.142,-10.718,26.479,5.837,49.857,9,113,42,4,48,0
44,39,False,False,Georgia Tech,5.593,6.417,-8.098,16.237,5.27,48.381,3,126,42,4,51,0
45,55,False,False,Boise State,5.586,6.222,-6.937,21.086,5.117,48.452,11,111,42,3,25,0
46,37,False,False,Tulane,5.567,5.411,-8.745,28.101,5.266,48.0,4,84,42,4,59,0
47,75,False,False,TCU,5.328,5.901,-7.414,15.276,4.732,50.786,17,120,42,2,13,0
48,67,False,False,NC State,5.204,5.377,-10.142,17.973,5.174,51.81,9,128,42,2,19,0
49,83,False,False,Kansas State,4.953,4.972,-9.424,14.717,4.911,52.214,18,113,42,1,8,0
50,46,False,False,Toledo,4.715,6.366,-8.163,14.27,5.939,58.476,7,128,42,6,37,0
51,69,False,False,Pittsburgh,4.57,5.825,-9.977,12.706,4.468,53.214,10,99,42,1,16,0
52,40,False,False,UConn,4.525,4.855,-12.682,17.005,5.202,53.881,1,130,42,4,49,1
53,92,False,False,San Diego State,4.434,5.5,-9.459,12.697,4.928,59.69,28,114,42,0,0,0
54,50,False,False,Duke,4.28,4.95,-9.529,12.404,4.097,55.429,5,127,42,3,30,0
55,48,False,False,Texas State,4.046,4.992,-9.446,21.325,4.866,59.476,8,121,42,3,33,0
56,91,False,False,Houston,3.816,3.829,-9.877,13.669,4.416,57.976,32,114,42,0,0,0
57,76,False,False,Arizona State,3.675,3.103,-10.498,14.871,4.488,59.738,15,115,42,2,12,0
58,79,False,False,Arkansas,3.417,3.613,-12.485,15.953,4.588,60.619,19,124,42,2,10,0
59,72,False,False,Jacksonville State,3.384,4.235,-13.124,25.766,6.331,66.595,11,131,42,1,15,0
60,47,False,False,Mississippi State,3.24,2.474,-12.947,18.674,5.673,59.262,15,128,42,5,34,0
61,52,False,False,Old Dominion,3.179,4.635,-12.735,12.104,5.428,64.643,4,133,42,2,27,0
62,61,False,False,Kentucky,3.0,1.89,-13.902,17.85,5.465,65.595,16,137,42,5,22,0
63,58,False,False,UTSA,2.975,3.517,-13.393,11.821,4.147,62.5,2,106,42,1,24,0
64,49,False,False,Baylor,2.653,2.852,-11.359,14.93,4.253,65.381,10,120,42,3,32,0
65,45,False,False,Minnesota,2.641,1.85,-12.124,15.184,5.069,64.762,2,122,42,2,38,0
66,93,False,False,Northwestern,2.531,2.548,-11.501,13.319,4.134,67.048,26,93,42,0,0,0
67,95,False,False,Western Kentucky,2.265,3.55,-11.353,10.125,4.446,71.619,44,122,42,0,0,0
68,94,False,False,Fresno State,2.189,2.898,-12.936,11.525,4.407,70.381,30,114,42,0,0,0
69,96,False,False,Miami (OH),1.628,1.942,-17.645,10.234,4.471,73.143,31,119,42,0,0,0
70,70,False,False,Southern Miss,1.611,2.06,-12.613,11.185,4.283,74.071,14,121,42,2,16,0
71,74,False,False,New Mexico,1.601,2.491,-14.213,12.667,4.819,76.738,12,135,42,1,14,0
72,97,False,False,Kansas,1.456,1.283,-15.316,13.143,4.057,73.429,31,100,42,0,0,0
73,56,False,False,California,1.435,0.891,-16.563,16.249,5.972,69.262,12,130,42,3,25,0
74,85,False,False,Western Michigan,1.123,2.463,-12.786,7.968,4.214,76.667,19,130,42,1,7,0
75,73,False,False,Virginia Tech,1.098,-0.598,-17.072,17.042,5.883,77.762,18,133,42,2,15,0
76,84,False,False,Maryland,1.072,0.221,-16.557,14.762,5.445,76.286,19,114,42,1,7,0
77,77,False,False,Utah State,1.062,0.559,-14.242,16.28,5.11,80.31,15,123,42,1,11,0
78,98,False,False,Rutgers,0.998,0.222,-12.483,14.273,4.67,79.119,36,136,42,0,0,0
79,59,False,False,Washington State,0.875,1.401,-12.664,10.645,4.864,73.786,5,124,42,2,24,0
80,30,False,False,Navy,0.852,0.501,-20.646,40.805,10.277,83.024,1,138,42,5,91,1
81,65,False,False,Ohio,0.796,2.33,-12.721,13.758,4.714,81.595,6,135,42,1,20,0
82,89,False,False,Liberty,0.745,0.724,-14.64,11.975,4.202,80.524,24,106,42,1,2,0
83,63,False,False,Hawai'i,0.688,0.422,-15.332,7.929,4.273,81.143,5,131,42,1,21,0
84,99,False,False,Florida International,0.605,1.285,-14.839,11.525,4.244,80.19,30,123,42,0,0,0
85,81,False,False,Marshall,0.589,1.558,-13.644,16.216,5.191,80.786,17,128,42,1,9,0
86,100,False,False,Louisiana Tech,0.513,1.381,-14.808,8.908,4.224,81.31,30,134,42,0,0,0
87,66,False,False,Kennesaw State,0.332,0.746,-14.649,32.703,7.045,84.619,6,137,42,1,20,0
88,62,False,False,UCF,0.265,0.79,-19.611,12.573,5.426,75.262,8,134,42,2,22,0
89,80,False,False,Wisconsin,0.071,-1.311,-14.925,16.976,6.081,83.81,18,130,42,2,10,0
90,102,False,False,Central Michigan,0.068,0.765,-13.178,18.062,4.82,83.19,27,129,42,0,0,0
91,51,False,False,North Carolina,0.034,-1.03,-14.432,16.985,6.242,76.476,8,131,42,2,29,0
92,101,False,False,West Virginia,-0.12,-1.613,-17.16,14.207,5.774,81.667,29,115,42,0,0,0
93,53,False,False,Boston College,-0.375,-0.258,-15.501,12.014,4.447,85.31,3,118,42,2,27,0
94,103,False,False,Michigan State,-0.865,-2.0,-18.976,13.167,5.907,86.31,32,133,42,0,0,0
95,104,False,False,Stanford,-1.271,-2.208,-16.888,14.125,5.494,89.69,37,122,42,0,0,0
96,82,False,False,Georgia Southern,-1.735,-2.391,-17.688,10.824,4.9,96.548,17,129,42,1,9,0
97,106,False,False,South Alabama,-1.755,-1.144,-15.989,8.022,4.547,96.881,61,132,42,0,0,0
98,90,False,False,App State,-1.929,-2.646,-17.267,11.925,4.791,96.357,25,120,42,1,1,0
99,105,False,False,Tulsa,-1.939,-1.917,-18.031,11.925,4.818,96.143,27,115,42,0,0,0
100,110,False,False,Delaware,-2.029,-2.201,-16.153,18.714,5.365,100.452,30,136,42,0,0,0
101,78,False,False,Oregon State,-2.137,-2.67,-20.82,10.898,5.101,98.69,15,128,42,1,11,0
102,108,False,False,Bowling Green,-2.446,-2.892,-17.428,16.739,5.6,100.143,30,137,42,0,0,0
103,109,False,False,Sacramento State,-2.622,-2.699,-19.029,7.471,4.037,100.381,46,123,42,0,0,0
104,57,False,False,Troy,-2.632,-2.745,-18.683,9.073,4.558,97.405,3,124,42,2,25,0
105,107,False,False,Colorado,-2.642,-3.847,-18.351,15.314,5.46,99.429,39,131,42,0,0,0
106,112,False,False,Eastern Michigan,-2.675,-2.53,-21.736,8.357,4.766,101.738,34,127,42,0,0,0
107,60,False,False,Army,-2.831,-2.411,-23.724,21.288,6.934,102.214,4,138,42,2,24,0
108,86,False,False,Buffalo,-2.871,-3.068,-18.839,6.913,4.553,100.786,19,130,42,1,7,0
109,111,False,False,Temple,-2.908,-2.922,-19.62,10.681,5.013,101.571,67,131,42,0,0,0
110,117,False,False,Louisiana,-3.014,-2.963,-17.802,10.425,4.971,104.071,38,127,42,0,0,0
111,113,False,False,Air Force,-3.163,-2.839,-15.324,9.348,4.297,101.786,30,137,42,0,0,0
112,118,False,False,Florida Atlantic,-3.188,-3.275,-19.166,11.925,4.794,104.095,26,134,42,0,0,0
113,115,False,False,Syracuse,-3.372,-5.362,-18.738,15.959,6.489,103.214,32,138,42,0,0,0
114,114,False,False,Arkansas State,-3.378,-2.829,-18.157,9.536,5.264,102.476,72,138,42,0,0,0
115,119,False,False,North Dakota State,-3.461,-3.39,-19.038,5.359,4.179,106.167,54,135,42,0,0,0
116,120,False,False,Missouri State,-3.509,-3.219,-18.017,6.941,4.717,106.31,62,126,42,0,0,0
117,88,False,False,UCLA,-3.923,-5.592,-18.085,17.288,6.404,105.952,25,135,42,3,3,0
118,116,False,False,Purdue,-3.991,-4.696,-21.355,13.78,7.486,103.238,26,135,42,0,0,0
119,122,False,False,Middle Tennessee,-4.475,-4.893,-22.68,7.936,5.192,111.238,54,138,42,0,0,0
120,124,False,False,San José State,-4.483,-4.308,-24.429,8.222,5.58,112.0,37,136,42,0,0,0
121,87,False,False,Akron,-4.661,-4.576,-21.039,6.799,5.209,110.095,21,136,42,1,5,0
122,121,False,False,Colorado State,-5.041,-6.33,-21.611,11.106,6.254,109.69,44,134,42,0,0,0
123,126,False,False,Northern Illinois,-5.12,-5.364,-22.917,6.327,5.023,116.167,59,132,42,0,0,0
124,68,False,False,Oklahoma State,-5.525,-6.69,-22.697,12.598,7.173,109.262,9,135,42,1,17,0
125,128,False,False,Kent State,-5.635,-5.604,-20.858,8.915,5.419,117.595,51,134,42,0,0,0
126,123,False,False,Wyoming,-5.647,-6.042,-22.644,7.58,5.815,111.69,27,138,42,0,0,0
127,127,False,False,Nevada,-5.655,-5.384,-23.977,6.945,5.229,116.524,67,134,42,0,0,0
128,125,False,False,Rice,-5.782,-6.631,-22.438,9.325,5.839,116.143,51,134,42,0,0,0
129,129,False,False,UAB,-6.177,-5.96,-21.236,9.534,5.56,118.738,74,135,42,0,0,0
130,131,False,False,New Mexico State,-6.69,-6.487,-24.36,2.815,4.737,121.524,50,135,42,0,0,0
131,130,False,False,UTEP,-7.032,-6.897,-26.482,8.593,6.58,120.595,83,137,42,0,0,0
132,132,False,False,Coastal Carolina,-7.191,-7.359,-25.551,8.049,5.906,122.452,70,138,42,0,0,0
133,133,False,False,UL Monroe,-7.691,-7.493,-25.723,4.894,5.783,123.524,53,138,42,0,0,0
134,135,False,False,Ball State,-7.993,-9.019,-24.257,7.7,6.294,124.952,61,136,42,0,0,0
135,134,False,False,Georgia State,-8.407,-9.265,-27.15,8.043,6.34,124.595,79,137,42,0,0,0
136,136,False,False,Sam Houston,-11.188,-11.718,-28.205,7.151,7.953,129.262,68,138,42,0,0,0
137,137,False,False,Charlotte,-11.777,-13.524,-28.793,8.179,7.616,129.929,81,138,42,0,0,0
138,138,False,False,Massachusetts,-12.982,-14.092,-31.073,5.836,7.749,130.595,57,138,42,0,0,0
