consensus_power_rank,poll_points_rank,consensus_power_top25,poll_points_top25,keys_team,predicted_margin_vs_average_team,median_margin_vs_average_team,minimum_model_margin_vs_average,maximum_model_margin_vs_average,model_margin_standard_deviation,average_ballot_rank,best_ballot_rank,worst_ballot_rank,models_in_consensus,top25_votes,poll_points,first_place_votes
70,88,False,False,UTSA,2.382,2.947,-8.872,10.15,4.265,69.524,42,120,42,0,0,0
71,90,False,False,Marshall,2.371,2.555,-9.474,16.549,5.693,71.476,32,123,42,0,0,0
72,78,False,False,Minnesota,2.335,2.465,-8.006,10.75,4.011,68.167,22,107,42,1,4,0
73,91,False,False,Western Michigan,2.3,2.907,-9.25,12.44,4.829,74.214,31,128,42,0,0,0
74,92,False,False,Ohio,2.071,2.277,-10.35,12.579,5.436,75.5,35,135,42,0,0,0
75,66,False,False,San Diego State,1.766,1.921,-13.477,14.055,5.286,69.357,15,131,42,1,11,0
76,93,False,False,Western Kentucky,1.237,1.821,-9.129,6.082,3.107,75.5,58,100,42,0,0,0
77,68,False,False,Old Dominion,1.176,1.753,-12.2,12.35,6.259,75.762,16,132,42,1,10,0
78,97,False,False,New Mexico,1.168,0.98,-5.896,17.988,4.267,78.786,27,113,42,0,0,0
79,94,False,False,Kansas,1.09,1.661,-7.635,9.156,4.121,75.81,44,118,42,0,0,0
80,95,False,False,Liberty,0.676,1.101,-20.076,12.375,4.818,78.048,30,135,42,0,0,0
81,62,False,False,West Virginia,0.334,-0.465,-8.513,16.0,5.11,79.81,12,128,42,1,14,0
82,81,False,False,Florida International,0.082,-0.789,-8.785,19.855,4.82,81.19,25,112,42,1,1,0
83,96,False,False,Rutgers,-0.15,0.634,-22.872,10.111,6.657,78.405,31,137,42,0,0,0
84,52,False,False,Virginia Tech,-0.157,-0.692,-14.379,16.85,6.407,78.762,13,116,42,2,24,0
85,76,False,False,UCLA,-0.333,-1.346,-15.078,10.304,6.056,82.071,24,134,42,3,6,0
86,98,False,False,UCF,-0.339,0.47,-11.999,10.5,4.78,81.905,39,122,42,0,0,0
87,99,False,False,Michigan State,-0.394,-1.862,-8.045,11.017,4.422,82.238,32,108,42,0,0,0
88,59,False,False,NC State,-0.597,-1.683,-15.02,29.673,8.422,85.119,8,138,42,2,22,0
89,100,False,False,Colorado,-0.613,-1.529,-10.285,10.989,4.873,84.095,38,126,42,0,0,0
90,73,False,False,Maryland,-0.725,-2.302,-9.412,15.584,6.139,83.952,21,119,42,2,7,0
91,80,False,False,Kennesaw State,-0.809,-1.574,-8.814,20.732,5.039,89.69,23,132,42,1,3,0
92,101,False,False,Boston College,-0.899,-1.112,-10.219,7.25,3.6,85.643,55,125,42,0,0,0
93,69,False,False,Navy,-1.309,-0.743,-18.524,18.235,8.644,87.381,18,138,42,2,10,0
94,103,False,False,Central Michigan,-1.56,-1.217,-14.963,11.641,4.15,91.119,38,129,42,0,0,0
95,102,False,False,Arkansas State,-1.598,-1.081,-10.356,5.5,3.59,89.857,54,127,42,0,0,0
96,105,False,False,Oregon State,-2.187,-3.138,-11.41,10.89,4.365,93.19,51,128,42,0,0,0
97,74,False,False,Utah State,-2.187,-1.398,-14.085,12.223,5.293,92.381,19,134,42,1,7,0
98,104,False,False,Southern Miss,-2.521,-1.469,-15.056,8.722,4.857,93.048,39,125,42,0,0,0
99,106,False,False,Louisiana Tech,-2.772,-2.88,-13.373,5.564,4.715,94.643,49,127,42,0,0,0
100,110,False,False,Missouri State,-3.141,-3.378,-10.251,11.064,4.007,99.714,38,124,42,0,0,0
101,107,False,False,Florida Atlantic,-3.357,-4.071,-9.679,7.217,3.883,97.857,50,121,42,0,0,0
102,50,False,False,Sacramento State,-3.409,-5.688,-13.475,46.651,10.561,99.524,5,136,42,2,30,0
103,108,False,False,Troy,-3.677,-3.674,-12.691,7.413,4.489,98.095,48,131,42,0,0,0
104,109,False,False,Georgia Southern,-3.838,-3.715,-14.877,9.05,5.247,98.738,38,127,42,0,0,0
105,51,False,False,Hawai'i,-4.03,-4.879,-28.192,33.582,9.339,99.857,7,136,42,2,27,0
106,48,False,False,Syracuse,-4.218,-5.671,-15.51,21.006,8.027,99.548,8,131,42,3,35,0
107,112,False,False,Louisiana,-4.553,-3.772,-17.919,6.42,4.51,103.786,57,128,42,0,0,0
108,116,False,False,Delaware,-4.849,-5.289,-13.798,8.733,4.597,105.619,51,134,42,0,0,0
109,114,False,False,UAB,-4.857,-5.571,-13.346,5.781,4.815,104.548,55,128,42,0,0,0
110,70,False,False,App State,-4.957,-4.269,-17.933,17.262,6.019,104.024,16,137,42,1,10,0
111,111,False,False,Tulsa,-5.001,-5.015,-15.55,2.823,3.908,103.714,68,129,42,0,0,0
112,120,False,False,Bowling Green,-5.166,-4.989,-14.667,11.172,3.94,107.857,43,123,42,0,0,0
113,115,False,False,South Alabama,-5.434,-3.971,-19.433,3.249,5.23,105.214,63,134,42,0,0,0
114,123,False,False,Northern Illinois,-5.639,-6.336,-14.088,11.942,4.531,110.286,38,131,42,0,0,0
115,118,False,False,Temple,-5.65,-5.157,-17.231,3.599,5.581,107.167,62,132,42,0,0,0
116,113,False,False,Purdue,-5.853,-6.815,-24.125,10.85,7.539,104.238,30,136,42,0,0,0
117,117,False,False,Colorado State,-5.866,-7.054,-16.066,11.825,5.616,105.976,32,130,42,0,0,0
118,122,False,False,Buffalo,-5.896,-5.703,-15.22,1.366,4.047,110.071,74,134,42,0,0,0
119,121,False,False,Akron,-5.935,-5.616,-25.07,2.554,4.177,109.381,63,137,42,0,0,0
120,119,False,False,Army,-6.117,-4.335,-27.744,2.658,5.916,107.262,78,138,42,0,0,0
121,125,False,False,Coastal Carolina,-6.379,-6.487,-13.855,3.825,3.977,111.738,77,132,42,0,0,0
122,124,False,False,UTEP,-7.063,-7.081,-19.669,7.2,5.017,111.476,42,135,42,0,0,0
123,127,False,False,Wyoming,-7.68,-7.612,-16.819,-1.369,3.529,117.833,84,133,42,0,0,0
124,82,False,False,Air Force,-7.873,-7.978,-29.788,7.247,6.372,112.881,25,138,42,1,1,0
125,126,False,False,Nevada,-7.876,-8.042,-17.624,4.424,4.598,117.119,64,135,42,0,0,0
126,60,False,False,Jacksonville State,-7.904,-10.023,-17.206,28.933,7.982,114.643,9,138,42,1,17,0
127,128,False,False,San José State,-8.331,-8.833,-17.023,1.304,3.646,118.333,81,135,42,0,0,0
128,131,False,False,Kent State,-8.588,-9.333,-15.285,6.573,4.534,120.571,58,133,42,0,0,0
129,132,False,False,Ball State,-8.973,-10.059,-16.14,0.861,4.33,120.595,68,138,42,0,0,0
130,130,False,False,Middle Tennessee,-9.216,-8.508,-22.726,2.612,5.757,119.238,62,136,42,0,0,0
131,129,False,False,Oklahoma State,-9.531,-10.706,-20.019,3.457,6.232,118.738,62,138,42,0,0,0
132,61,False,False,Rice,-10.049,-9.444,-25.919,18.843,8.979,118.643,11,136,42,1,15,0
133,134,False,False,UL Monroe,-10.408,-10.586,-20.937,-1.292,4.605,126.31,86,135,42,0,0,0
134,133,False,False,Georgia State,-11.087,-11.912,-24.475,3.542,7.261,120.667,60,136,42,0,0,0
135,135,False,False,Sam Houston,-13.692,-14.988,-23.204,2.111,6.417,129.214,82,137,42,0,0,0
136,136,False,False,Charlotte,-16.021,-16.427,-30.468,-0.686,7.384,130.857,92,138,42,0,0,0
137,138,False,False,New Mexico State,-17.521,-15.473,-41.577,-6.798,8.034,134.69,121,138,42,0,0,0
138,137,False,False,Massachusetts,-17.63,-19.679,-31.993,-2.745,7.697,133.738,97,138,42,0,0,0
